attendance_id,enrollment_id,attendance_date,status,notes
30401,91,2026-01-19,Present,
30402,91,2026-01-20,Present,
30460,92,2026-01-19,Present,
30461,92,2026-01-20,Present,Decade.
30502,93,2026-01-19,Present,
30503,93,2026-01-20,Excused,
30522,94,2026-01-19,Present,
30523,94,2026-01-20,Present,
30563,95,2026-01-19,Present,
30564,95,2026-01-20,Present,
30584,96,2026-01-19,Present,
30585,96,2026-01-20,Present,
30623,97,2026-01-19,Present,
30624,97,2026-01-20,Present,
30656,98,2026-01-19,Present,
30657,98,2026-01-20,Present,
30682,99,2026-01-19,Present,
30683,99,2026-01-20,Absent,
30718,100,2026-01-19,Present,
30719,100,2026-01-20,Present,
30758,101,2026-01-19,Absent,
30759,101,2026-01-20,Present,
30793,102,2026-01-19,Present,
30794,102,2026-01-20,Absent,
30837,103,2026-01-19,Present,
30838,103,2026-01-20,Absent,
30875,104,2026-01-19,Absent,
30876,104,2026-01-20,Present,
30915,105,2026-01-19,Present,
30916,105,2026-01-20,Present,
30968,106,2026-01-19,Present,
30969,106,2026-01-20,Present,Summer everyone.
31012,107,2026-01-19,Present,
31013,107,2026-01-20,Present,Set media clear.
31058,108,2026-01-19,Present,
31059,108,2026-01-20,Present,
31101,109,2026-01-19,Late,
31102,109,2026-01-20,Present,
31143,110,2026-01-19,Present,
31144,110,2026-01-20,Present,
31182,111,2026-01-19,Absent,Available accept administration.
31183,111,2026-01-20,Present,
31237,112,2026-01-19,Present,
31238,112,2026-01-20,Present,Score message seek.
31289,113,2026-01-19,Present,Believe these.
31290,113,2026-01-20,Present,
31331,114,2026-01-19,Late,Everything bar next.
31332,114,2026-01-20,Present,
31372,115,2026-01-19,Present,
31373,115,2026-01-20,Present,
31423,116,2026-01-19,Present,
31424,116,2026-01-20,Absent,
31466,117,2026-01-19,Present,
31467,117,2026-01-20,Late,
31516,118,2026-01-19,Present,
31517,118,2026-01-20,Absent,
31568,119,2026-01-19,Present,
31569,119,2026-01-20,Present,
31626,120,2026-01-19,Absent,
31627,120,2026-01-20,Present,
31652,121,2026-01-19,Present,
31653,121,2026-01-20,Present,
31712,122,2026-01-19,Present,
31713,122,2026-01-20,Present,
31760,123,2026-01-19,Present,
31761,123,2026-01-20,Present,
31802,124,2026-01-19,Present,Carry system pretty.
31803,124,2026-01-20,Present,
31836,125,2026-01-19,Present,Common play democratic.
31837,125,2026-01-20,Absent,
31864,126,2026-01-19,Present,
31865,126,2026-01-20,Present,Agree successful western.
31903,127,2026-01-19,Present,
31904,127,2026-01-20,Present,
31938,128,2026-01-19,Present,
31939,128,2026-01-20,Present,Store form.
31985,129,2026-01-19,Present,Short statement hotel.
31986,129,2026-01-20,Present,
32039,130,2026-01-19,Absent,
32040,130,2026-01-20,Present,
32090,131,2026-01-19,Present,
32091,131,2026-01-20,Late,
32118,132,2026-01-19,Present,
32119,132,2026-01-20,Present,Fish though.
32174,133,2026-01-19,Present,
32175,133,2026-01-20,Present,
32214,134,2026-01-19,Present,
32215,134,2026-01-20,Present,
32255,135,2026-01-19,Present,
32256,135,2026-01-20,Present,
32311,136,2026-01-19,Present,
32312,136,2026-01-20,Absent,
32353,137,2026-01-19,Late,
32354,137,2026-01-20,Present,
32410,138,2026-01-19,Present,
32411,138,2026-01-20,Present,
32465,139,2026-01-19,Present,Hundred box professor.
32466,139,2026-01-20,Present,Large break.
32496,140,2026-01-19,Absent,
32497,140,2026-01-20,Present,
32516,141,2026-01-19,Present,
32517,141,2026-01-20,Present,
32537,142,2026-01-19,Present,
32538,142,2026-01-20,Present,
32560,143,2026-01-19,Present,
32561,143,2026-01-20,Present,
32616,144,2026-01-19,Present,
32617,144,2026-01-20,Present,
32657,145,2026-01-19,Present,Management life.
32658,145,2026-01-20,Present,
32712,146,2026-01-19,Present,
32713,146,2026-01-20,Present,
32737,147,2026-01-19,Absent,
32738,147,2026-01-20,Present,
32774,148,2026-01-19,Absent,
32775,148,2026-01-20,Present,
32831,149,2026-01-19,Absent,Culture right.
32832,149,2026-01-20,Present,
69232,1061,2026-01-20,Excused,
32890,150,2026-01-19,Present,Director wrong often.
32891,150,2026-01-20,Present,
32921,151,2026-01-19,Present,
32922,151,2026-01-20,Present,
32952,152,2026-01-19,Absent,
32953,152,2026-01-20,Present,
33007,153,2026-01-19,Present,
33008,153,2026-01-20,Present,
33061,154,2026-01-19,Present,
33062,154,2026-01-20,Present,
33117,155,2026-01-19,Present,
33118,155,2026-01-20,Present,
33166,156,2026-01-19,Present,
33167,156,2026-01-20,Present,
33199,157,2026-01-19,Present,Should party.
33200,157,2026-01-20,Absent,
33221,158,2026-01-19,Present,
33222,158,2026-01-20,Present,
33261,159,2026-01-19,Excused,
33262,159,2026-01-20,Excused,
33313,160,2026-01-19,Late,
33314,160,2026-01-20,Present,
33350,161,2026-01-19,Present,
33351,161,2026-01-20,Absent,
33382,162,2026-01-19,Present,
33383,162,2026-01-20,Present,
33416,163,2026-01-19,Present,
33417,163,2026-01-20,Present,
33475,164,2026-01-19,Absent,
33476,164,2026-01-20,Present,
33499,165,2026-01-19,Present,
33500,165,2026-01-20,Absent,
33534,166,2026-01-19,Present,
33535,166,2026-01-20,Present,
33589,167,2026-01-19,Present,
33590,167,2026-01-20,Excused,
33609,168,2026-01-19,Absent,
33610,168,2026-01-20,Present,
33633,169,2026-01-19,Present,
33634,169,2026-01-20,Present,
33682,170,2026-01-19,Present,After state.
33683,170,2026-01-20,Present,
33713,171,2026-01-19,Present,
33714,171,2026-01-20,Present,
33765,172,2026-01-19,Excused,
33766,172,2026-01-20,Present,
33818,173,2026-01-19,Present,Her teacher national.
33819,173,2026-01-20,Present,
33849,174,2026-01-19,Late,
33850,174,2026-01-20,Excused,
33902,175,2026-01-19,Late,
33903,175,2026-01-20,Present,
33953,176,2026-01-19,Absent,
33954,176,2026-01-20,Present,
34003,177,2026-01-19,Present,
34004,177,2026-01-20,Present,
34061,178,2026-01-19,Late,
34062,178,2026-01-20,Present,Time everyone.
34119,179,2026-01-19,Absent,
34120,179,2026-01-20,Present,
34169,180,2026-01-19,Present,
34170,180,2026-01-20,Absent,
34202,181,2026-01-19,Present,
34203,181,2026-01-20,Present,
34243,182,2026-01-19,Present,
34244,182,2026-01-20,Present,
34296,183,2026-01-19,Present,
34297,183,2026-01-20,Present,
34335,184,2026-01-19,Present,
34336,184,2026-01-20,Present,
34389,185,2026-01-19,Absent,
34390,185,2026-01-20,Present,
34411,186,2026-01-19,Absent,
34412,186,2026-01-20,Present,
34451,187,2026-01-19,Present,
34452,187,2026-01-20,Present,
34481,188,2026-01-19,Present,
34482,188,2026-01-20,Absent,
34538,189,2026-01-19,Present,
34539,189,2026-01-20,Absent,
34565,190,2026-01-19,Present,
34566,190,2026-01-20,Absent,
34606,191,2026-01-19,Absent,
34607,191,2026-01-20,Present,
34655,192,2026-01-19,Late,
34656,192,2026-01-20,Present,
34701,193,2026-01-19,Absent,
34702,193,2026-01-20,Absent,
34746,194,2026-01-19,Late,
34747,194,2026-01-20,Present,
34785,195,2026-01-19,Late,
34786,195,2026-01-20,Present,
34823,196,2026-01-19,Present,
34824,196,2026-01-20,Present,
34879,197,2026-01-19,Present,
34880,197,2026-01-20,Present,
34920,198,2026-01-19,Present,
34921,198,2026-01-20,Present,
34964,199,2026-01-19,Present,
34965,199,2026-01-20,Present,Need send us.
35001,200,2026-01-19,Present,
35002,200,2026-01-20,Absent,Approach experience agree.
35049,201,2026-01-19,Present,
35050,201,2026-01-20,Present,
35108,202,2026-01-19,Present,
35109,202,2026-01-20,Present,
35166,203,2026-01-19,Present,
35167,203,2026-01-20,Present,
35204,204,2026-01-19,Absent,
35205,204,2026-01-20,Absent,
35233,205,2026-01-19,Absent,
35234,205,2026-01-20,Present,
35280,206,2026-01-19,Present,
35281,206,2026-01-20,Present,
35306,207,2026-01-19,Present,
35307,207,2026-01-20,Absent,
35338,208,2026-01-19,Present,
35339,208,2026-01-20,Late,
35358,209,2026-01-19,Late,
35359,209,2026-01-20,Present,
35400,210,2026-01-19,Late,
35401,210,2026-01-20,Absent,
35444,211,2026-01-19,Present,
35445,211,2026-01-20,Present,
35479,212,2026-01-19,Absent,
35480,212,2026-01-20,Late,
35500,213,2026-01-19,Absent,
35501,213,2026-01-20,Present,
35524,214,2026-01-19,Absent,
35525,214,2026-01-20,Present,
35584,215,2026-01-19,Late,
35585,215,2026-01-20,Present,
35612,216,2026-01-19,Present,
35613,216,2026-01-20,Absent,
35637,217,2026-01-19,Present,Realize chance.
35638,217,2026-01-20,Absent,
35669,218,2026-01-19,Present,
35670,218,2026-01-20,Present,
35708,219,2026-01-19,Present,
35709,219,2026-01-20,Present,
35746,220,2026-01-19,Absent,Action.
35747,220,2026-01-20,Present,
35776,221,2026-01-19,Present,
35777,221,2026-01-20,Absent,
35812,222,2026-01-19,Present,
35813,222,2026-01-20,Present,Quickly name rest know.
35848,223,2026-01-19,Present,
35849,223,2026-01-20,Present,
35898,224,2026-01-19,Present,
35899,224,2026-01-20,Absent,
35957,225,2026-01-19,Present,
35958,225,2026-01-20,Present,
36003,226,2026-01-19,Present,
36004,226,2026-01-20,Present,
36049,227,2026-01-19,Absent,
36050,227,2026-01-20,Absent,
36108,228,2026-01-19,Present,
36109,228,2026-01-20,Present,Then Democrat.
36150,229,2026-01-19,Absent,
36151,229,2026-01-20,Present,
36201,230,2026-01-19,Present,
36202,230,2026-01-20,Present,
36256,231,2026-01-19,Excused,
36257,231,2026-01-20,Present,
36312,232,2026-01-19,Late,
36313,232,2026-01-20,Present,
36358,233,2026-01-19,Present,
36359,233,2026-01-20,Late,Can wall.
36414,234,2026-01-19,Present,
36415,234,2026-01-20,Present,
36448,235,2026-01-19,Present,
36449,235,2026-01-20,Absent,
36480,236,2026-01-19,Present,
36481,236,2026-01-20,Absent,
36530,237,2026-01-19,Present,
36531,237,2026-01-20,Present,
36572,238,2026-01-19,Present,
36573,238,2026-01-20,Present,
36630,239,2026-01-19,Present,Outside this rest.
36631,239,2026-01-20,Present,
36655,240,2026-01-19,Absent,Today likely.
36656,240,2026-01-20,Present,
36711,241,2026-01-19,Present,
36712,241,2026-01-20,Present,
36757,242,2026-01-19,Present,Across thing.
36758,242,2026-01-20,Present,Question experience require.
36793,243,2026-01-19,Present,
36794,243,2026-01-20,Present,
36841,244,2026-01-19,Present,
36842,244,2026-01-20,Absent,
36886,245,2026-01-19,Present,
36887,245,2026-01-20,Present,
36927,246,2026-01-19,Absent,Health few game.
36928,246,2026-01-20,Absent,
36955,247,2026-01-19,Present,
36956,247,2026-01-20,Present,Single event community.
36996,248,2026-01-19,Late,Cause read already.
36997,248,2026-01-20,Absent,
37045,249,2026-01-19,Present,
37046,249,2026-01-20,Late,
37078,250,2026-01-19,Present,
37079,250,2026-01-20,Present,
37112,251,2026-01-19,Absent,
37113,251,2026-01-20,Present,Trip world.
37171,252,2026-01-19,Present,
37172,252,2026-01-20,Present,Form lot from.
37194,253,2026-01-19,Present,
37195,253,2026-01-20,Present,
37226,254,2026-01-19,Present,
37227,254,2026-01-20,Late,
37249,255,2026-01-19,Present,
37250,255,2026-01-20,Absent,
37308,256,2026-01-19,Absent,
37309,256,2026-01-20,Late,
37336,257,2026-01-19,Absent,
37337,257,2026-01-20,Present,
37363,258,2026-01-19,Present,
37364,258,2026-01-20,Present,
37406,259,2026-01-19,Present,
37407,259,2026-01-20,Late,
37446,260,2026-01-19,Present,
37447,260,2026-01-20,Absent,
37504,261,2026-01-19,Late,
37505,261,2026-01-20,Present,
37529,262,2026-01-19,Present,
37530,262,2026-01-20,Present,
37583,263,2026-01-19,Late,
37584,263,2026-01-20,Present,
37603,264,2026-01-19,Present,
37604,264,2026-01-20,Present,
37638,265,2026-01-19,Present,
37639,265,2026-01-20,Present,
37662,266,2026-01-19,Present,
37663,266,2026-01-20,Present,
37689,267,2026-01-19,Present,
37690,267,2026-01-20,Present,
37743,268,2026-01-19,Excused,
37744,268,2026-01-20,Late,
37766,269,2026-01-19,Present,Someone cut.
37767,269,2026-01-20,Present,
37787,270,2026-01-19,Absent,
37788,270,2026-01-20,Absent,
37828,271,2026-01-19,Present,
37829,271,2026-01-20,Present,
37867,272,2026-01-19,Present,
37868,272,2026-01-20,Present,
37890,273,2026-01-19,Present,
37891,273,2026-01-20,Late,
37935,274,2026-01-19,Present,
37936,274,2026-01-20,Absent,
37962,275,2026-01-19,Late,
37963,275,2026-01-20,Present,Bank money.
37986,276,2026-01-19,Present,
37987,276,2026-01-20,Absent,
38046,277,2026-01-19,Late,
38047,277,2026-01-20,Present,
38089,278,2026-01-19,Present,
38090,278,2026-01-20,Present,
38138,279,2026-01-19,Present,Away easy.
38139,279,2026-01-20,Present,
38165,280,2026-01-19,Late,
38166,280,2026-01-20,Present,
38224,281,2026-01-19,Present,Reflect live near.
38225,281,2026-01-20,Excused,
38257,282,2026-01-19,Present,Fish summer.
38258,282,2026-01-20,Present,Cause foot.
38283,283,2026-01-19,Present,
38284,283,2026-01-20,Absent,
38316,284,2026-01-19,Present,
38317,284,2026-01-20,Present,
38354,285,2026-01-19,Present,
38355,285,2026-01-20,Present,
38408,286,2026-01-19,Present,
38409,286,2026-01-20,Present,
38440,287,2026-01-19,Present,
38441,287,2026-01-20,Present,
38496,288,2026-01-19,Present,
38497,288,2026-01-20,Present,
38550,289,2026-01-19,Present,
38551,289,2026-01-20,Absent,Various morning.
38588,290,2026-01-19,Present,
38589,290,2026-01-20,Present,
38610,291,2026-01-19,Present,Hold east.
38611,291,2026-01-20,Absent,
38643,292,2026-01-19,Absent,
38644,292,2026-01-20,Present,
38699,293,2026-01-19,Absent,
38700,293,2026-01-20,Present,Yeah nearly.
38721,294,2026-01-19,Present,
38722,294,2026-01-20,Present,
38752,295,2026-01-19,Absent,
38753,295,2026-01-20,Present,
38776,296,2026-01-19,Present,
38777,296,2026-01-20,Absent,
38799,297,2026-01-19,Present,
38800,297,2026-01-20,Present,
38854,298,2026-01-19,Present,
38855,298,2026-01-20,Absent,
38913,299,2026-01-19,Present,
38914,299,2026-01-20,Present,Traditional.
38958,300,2026-01-19,Late,
38959,300,2026-01-20,Present,
38988,301,2026-01-19,Absent,
38989,301,2026-01-20,Present,
39048,302,2026-01-19,Present,Live item.
39049,302,2026-01-20,Late,
39091,303,2026-01-19,Present,
39092,303,2026-01-20,Present,
39126,304,2026-01-19,Absent,
39127,304,2026-01-20,Present,
39161,305,2026-01-19,Present,
39162,305,2026-01-20,Present,
39195,306,2026-01-19,Present,
39196,306,2026-01-20,Present,
39236,307,2026-01-19,Present,
39237,307,2026-01-20,Absent,
39291,308,2026-01-19,Present,
39292,308,2026-01-20,Excused,
39312,309,2026-01-19,Present,
39313,309,2026-01-20,Late,
39362,310,2026-01-19,Present,
39363,310,2026-01-20,Present,True study.
39407,311,2026-01-19,Present,
39408,311,2026-01-20,Late,
39459,312,2026-01-19,Present,
39460,312,2026-01-20,Late,
39515,313,2026-01-19,Late,
39516,313,2026-01-20,Absent,
39567,314,2026-01-19,Late,
39568,314,2026-01-20,Present,
39607,315,2026-01-19,Present,
39608,315,2026-01-20,Absent,
39643,316,2026-01-19,Present,
39644,316,2026-01-20,Present,
39681,317,2026-01-19,Present,
39682,317,2026-01-20,Absent,
39739,318,2026-01-19,Present,
39740,318,2026-01-20,Present,
39788,319,2026-01-19,Present,Information theory cup.
39789,319,2026-01-20,Present,Start.
39824,320,2026-01-19,Present,
39825,320,2026-01-20,Present,
39883,321,2026-01-19,Excused,
39884,321,2026-01-20,Absent,Ready several under.
39936,322,2026-01-19,Present,
39937,322,2026-01-20,Present,Form rock.
39972,323,2026-01-19,Present,
39973,323,2026-01-20,Present,
40020,324,2026-01-19,Present,
40021,324,2026-01-20,Present,
40048,325,2026-01-19,Present,
40049,325,2026-01-20,Present,Baby moment part.
40096,326,2026-01-19,Present,
40097,326,2026-01-20,Present,Cover hand both.
40136,327,2026-01-19,Absent,Television administration total movement.
40137,327,2026-01-20,Present,
40179,328,2026-01-19,Present,
40180,328,2026-01-20,Absent,
40209,329,2026-01-19,Present,
40210,329,2026-01-20,Late,
40230,330,2026-01-19,Present,
40231,330,2026-01-20,Absent,
40263,331,2026-01-19,Present,
40264,331,2026-01-20,Present,
40323,332,2026-01-19,Present,
40324,332,2026-01-20,Absent,
40357,333,2026-01-19,Present,
40358,333,2026-01-20,Present,
40410,334,2026-01-19,Present,
40411,334,2026-01-20,Present,
40434,335,2026-01-19,Present,
40435,335,2026-01-20,Excused,
40473,336,2026-01-19,Present,
40474,336,2026-01-20,Absent,
40528,337,2026-01-19,Present,
40529,337,2026-01-20,Present,
40567,338,2026-01-19,Present,
40568,338,2026-01-20,Present,
40620,339,2026-01-19,Present,
40621,339,2026-01-20,Present,
40662,340,2026-01-19,Present,
40663,340,2026-01-20,Absent,
40694,341,2026-01-19,Present,
40695,341,2026-01-20,Excused,
40731,342,2026-01-19,Absent,Tree send.
40732,342,2026-01-20,Present,
40758,343,2026-01-19,Absent,
40759,343,2026-01-20,Absent,
40802,344,2026-01-19,Present,Tend bring challenge.
40803,344,2026-01-20,Present,
40828,345,2026-01-19,Present,Understand pressure.
40829,345,2026-01-20,Present,
40859,346,2026-01-19,Present,
40860,346,2026-01-20,Late,
40882,347,2026-01-19,Present,
40883,347,2026-01-20,Absent,
40912,348,2026-01-19,Present,
40913,348,2026-01-20,Present,
40955,349,2026-01-19,Absent,
40956,349,2026-01-20,Present,
40984,350,2026-01-19,Present,
40985,350,2026-01-20,Present,
41043,351,2026-01-19,Present,
41044,351,2026-01-20,Present,
41063,352,2026-01-19,Absent,
41064,352,2026-01-20,Present,
41109,353,2026-01-19,Present,Generation dark face.
41110,353,2026-01-20,Absent,
41139,354,2026-01-19,Present,
41140,354,2026-01-20,Present,
41193,355,2026-01-19,Present,
41194,355,2026-01-20,Present,
41225,356,2026-01-19,Present,
41226,356,2026-01-20,Present,Professor out base.
41254,357,2026-01-19,Present,
41255,357,2026-01-20,Present,Both food.
41282,358,2026-01-19,Present,
41283,358,2026-01-20,Present,
41302,359,2026-01-19,Present,
41303,359,2026-01-20,Absent,
41325,360,2026-01-19,Late,
41326,360,2026-01-20,Excused,
41378,361,2026-01-19,Late,
41379,361,2026-01-20,Present,
41413,362,2026-01-19,Present,
41414,362,2026-01-20,Present,
41433,363,2026-01-19,Absent,
41434,363,2026-01-20,Absent,
41455,364,2026-01-19,Present,Nation read black.
41456,364,2026-01-20,Present,
41497,365,2026-01-19,Present,
41498,365,2026-01-20,Present,
41532,366,2026-01-19,Present,
41533,366,2026-01-20,Present,
41585,367,2026-01-19,Present,
41586,367,2026-01-20,Present,Hold make.
41645,368,2026-01-19,Late,
41646,368,2026-01-20,Present,
41683,369,2026-01-19,Present,
41684,369,2026-01-20,Present,
41728,370,2026-01-19,Present,
41729,370,2026-01-20,Absent,
41768,371,2026-01-19,Present,
41769,371,2026-01-20,Present,Picture common.
41824,372,2026-01-19,Present,
41825,372,2026-01-20,Present,
41864,373,2026-01-19,Present,
41865,373,2026-01-20,Excused,
41907,374,2026-01-19,Present,
41908,374,2026-01-20,Absent,
41939,375,2026-01-19,Late,
41940,375,2026-01-20,Present,
41971,376,2026-01-19,Present,
41972,376,2026-01-20,Absent,
41995,377,2026-01-19,Present,
41996,377,2026-01-20,Present,
42046,378,2026-01-19,Present,
42047,378,2026-01-20,Present,
42069,379,2026-01-19,Present,
42070,379,2026-01-20,Present,
42124,380,2026-01-19,Present,Speak several senior.
42125,380,2026-01-20,Present,
42157,381,2026-01-19,Present,
42158,381,2026-01-20,Absent,
42215,382,2026-01-19,Excused,
42216,382,2026-01-20,Present,
42269,383,2026-01-19,Present,
42270,383,2026-01-20,Late,
42304,384,2026-01-19,Absent,
42305,384,2026-01-20,Present,Address hotel figure.
42339,385,2026-01-19,Present,
42340,385,2026-01-20,Present,
42398,386,2026-01-19,Present,
42399,386,2026-01-20,Present,
42448,387,2026-01-19,Present,
42449,387,2026-01-20,Present,
42476,388,2026-01-19,Present,
42477,388,2026-01-20,Excused,
42496,389,2026-01-19,Absent,
42497,389,2026-01-20,Absent,
42522,390,2026-01-19,Late,Physical oil.
42523,390,2026-01-20,Late,
42563,391,2026-01-19,Late,
42564,391,2026-01-20,Absent,
42594,392,2026-01-19,Present,
42595,392,2026-01-20,Present,
42650,393,2026-01-19,Present,
42651,393,2026-01-20,Present,
42690,394,2026-01-19,Present,
42691,394,2026-01-20,Late,
42722,395,2026-01-19,Present,
42723,395,2026-01-20,Present,
42777,396,2026-01-19,Present,
42778,396,2026-01-20,Present,
42817,397,2026-01-19,Present,
42818,397,2026-01-20,Present,
42849,398,2026-01-19,Present,
42850,398,2026-01-20,Excused,
42901,399,2026-01-19,Present,
42902,399,2026-01-20,Late,
42939,400,2026-01-19,Present,
42940,400,2026-01-20,Excused,
42983,401,2026-01-19,Present,Field bed allow part.
42984,401,2026-01-20,Present,
43036,402,2026-01-19,Present,
43037,402,2026-01-20,Present,
43081,403,2026-01-19,Absent,Easy series up.
43082,403,2026-01-20,Present,
43107,404,2026-01-19,Present,
43108,404,2026-01-20,Present,
43140,405,2026-01-19,Present,
43141,405,2026-01-20,Present,
43168,406,2026-01-19,Present,
43169,406,2026-01-20,Present,
43227,407,2026-01-19,Absent,
43228,407,2026-01-20,Absent,
43273,408,2026-01-19,Absent,
43274,408,2026-01-20,Present,
43312,409,2026-01-19,Present,Side religious.
43313,409,2026-01-20,Present,Compare.
43348,410,2026-01-19,Present,Like later.
43349,410,2026-01-20,Present,
43387,411,2026-01-19,Present,
43388,411,2026-01-20,Present,
43435,412,2026-01-19,Late,
43436,412,2026-01-20,Late,
